Charge description, Average charge/unit , Average self-pay charge/unit (30% discount) 
PI US DRAIN/INJECTION JOINT/BURSA, $875.00 , $612.50 
PICC LINE WO/PORT PUMP >5 YEARS," $3,493.00 "," $2,445.10 "
PLACE DEVICE MARKER NON-PRO," $3,295.79 "," $2,307.05 "
PLACEMENT OF STENT INTO BILE DUCT," $13,691.00 "," $9,583.70 "
PROSTATE NEEDLE BIOPSY," $6,056.00 "," $4,239.20 "
RELOCATION POCKET PACEMAKER," $5,829.00 "," $4,080.30 "
RELOCATION SKIN POCKET FOR DEFIB," $5,829.00 "," $4,080.30 "
REMOVAL DUAL PACEMAKER LEADS," $9,721.00 "," $6,804.70 "
REMOVAL IVC FILTER," $9,262.00 "," $6,483.40 "
REMOVAL OF KIDNEY TUBE W/FLUORO," $2,273.00 "," $1,591.10 "
REMOVAL PULSE GENERATOR," $9,721.00 "," $6,804.70 "
REMOVE TUBE OBSTRUCTION," $1,500.00 "," $1,050.00 "
REMOVE/REPLACE URETERAL STENT," $8,635.00 "," $6,044.50 "
REPLACE CATHETER ONLY W/PORT PUMP," $9,262.00 "," $6,483.40 "
REPLACE GASTRIC TUBE," $2,021.00 "," $1,414.70 "
REPLACE GASTRIC TUBE," $2,021.00 "," $1,414.70 "
REPLACE GATRIC TUBE," $2,021.00 "," $1,414.70 "
REPLACE NON TUNNELED CV CATH," $3,493.00 "," $2,445.10 "
REPLACE TUNNELED CV CATH," $9,262.00 "," $6,483.40 "
REPLACE TUNNELED DEVICE W/PORT," $9,262.00 "," $6,483.40 "
REPOSITION SUBSQ LEAD," $9,721.00 "," $6,804.70 "
RETROGRADE INJECTION URETHRA, $272.00 , $190.40 
SACROILIAC JNT INJ W/ANESTHESIA," $2,783.00 "," $1,948.10 "
SACROILIAC JOINT INJECTION, $353.00 , $247.10 
SACROILIAC JOINT INJECTION, $353.00 , $247.10 
SALIVARY GLAND BIOPSY," $2,018.00 "," $1,412.60 "
SCLEROTHERAPY FLUID COLLECTION," $2,926.00 "," $2,048.20 "
SHOULDER ARTHROGRAM, $215.00 , $150.50 
SHOULDER ARTHROGRAM INJECTION, $215.00 , $150.50 
SINGLE INJECTION SHEATH/LIGAMENT, $875.00 , $612.50 
SINGLE INJECTION SHEATH/LIGAMENT, $875.00 , $612.50 
SINGLE TENDON INJECTION, $875.00 , $612.50 
SINGLE TENDON INJECTION, $875.00 , $612.50 
SOFT TISSUE OR UPPER ARM BIOPSY," $5,556.00 "," $3,889.20 "
SPINAL INJECTION CERV/THORACIC," $2,075.00 "," $1,452.50 "
STENT PLACEMENT," $31,628.00 "," $22,139.60 "
STENT PLACEMENT INTO BILE DUCT," $12,792.00 "," $8,954.40 "
STENT REMOVAL," $18,800.00 "," $13,160.00 "
SUPERFICIAL BONE BIOPSY," $3,423.00 "," $2,396.10 "
THORACENTESIS," $2,027.00 "," $1,418.90 "
THORACIC MYELOGRAM," $2,544.00 "," $1,780.80 "
THROMBOLYTIC ART/VENOUS THERAPY," $9,262.00 "," $6,483.40 "
THROMBOLYTIC ARTERIAL THERAPY," $3,493.00 "," $2,445.10 "
THROMBOLYTIC VENOUS THERAPY," $3,493.00 "," $2,445.10 "
TRANSBRONCHIAL NEEDLE BIOPSY," $9,345.00 "," $6,541.50 "
TRANSCATHETER/EMBOLIZATION," $39,875.00 "," $27,912.50 "
TRANSPERI NEEDLE PLACEMENT," $8,635.00 "," $6,044.50 "
TUNNELED CATH >5 YEARS," $9,262.00 "," $6,483.40 "
TUNNELED CATH W/PORT >5 YEARS," $9,262.00 "," $6,483.40 "
UNILATERAL KIDNEY ANGIOGRAM," $10,604.00 "," $7,422.80 "
UNLISTED PROCEDURE OF NERVOUS SYS," $1,015.00 ", $710.50 
UNLSTD URINARY SYST PROCEDURE, $952.00 , $666.40 
URETERAL STENT PLACEMENT," $6,969.00 "," $4,878.30 "
URETERAL STENT PLACEMENT," $6,969.00 "," $4,878.30 "
URETERAL STENT PLACEMENT," $6,969.00 "," $4,878.30 "
US BREAST BIOPSY 1ST LESION," $4,360.00 "," $3,052.00 "
US BREAST BIOPSY 1ST LESION, $546.00 , $382.20 
US BREAST BIOPSY ADDL LESION, $331.00 , $231.70 
US DRAIN/INJECTION JOINT/BURSA, $875.00 , $612.50 
US DRAIN/INJECTION OF JOINT/BURSA, $875.00 , $612.50 
US DRAIN/INJECTION OF JOINT/BURSA, $875.00 , $612.50 
VENOGRAM, $204.00 , $142.80 
VERTEBROPLASTY CERVICAL/THORACIC," $10,777.00 "," $7,543.90 "
VERTEBROPLASTY LUMBOSACRAL," $10,777.00 "," $7,543.90 "
WRIST ARTHROGRAM, $317.00 , $221.90 
754124014 ANES GENERAL LEVEL 1-1ST 30 MIN," $1,225.00 ", $857.50 
754124015 ANES GENERAL LEVEL 1-ADDL MIN, $12.25 , $8.58 
754124016 ANES GENERAL LEVEL 2-1ST 30 MIN," $1,470.00 "," $1,029.00 "
754124017 ANES GENERAL LEVEL 2-ADDL MIN, $14.70 , $10.29 
ANES GENERAL LEVEL 1-1ST 30 MIN," $1,225.00 ", $857.50 
ANES GENERAL LEVEL 1-1ST 30 MIN," $1,225.00 ", $857.50 
ANES GENERAL LEVEL 1-ADDL MIN, $12.25 , $8.58 
ANES GENERAL LEVEL 1-ADDL MIN, $12.25 , $8.58 
ANES GENERAL LEVEL 2-1ST 30 MIN," $1,471.83 "," $1,030.28 "
ANES GENERAL LEVEL 2-ADDL MIN, $14.70 , $10.29 
CONSCIOUS SEDATION, $539.00 , $377.30 
LD SPI/EPI ANES 1ST 30 MIN," $2,053.00 "," $1,437.10 "
LD SPI/EPI ANES ADDITIONAL MIN, $8.03 , $5.62 
MEDICAL IMAGING CON SED ADDL 15MN, $46.00 , $32.20 
MEDICAL IMAGING CON SEDATION, $51.00 , $35.70 
MODERATE SED <5 YR 1ST 15 MINUTES, $637.00 , $445.90 
MODERATE SED <5 YRS 1ST 15 MIN-2P, $380.00 , $266.00 
MODERATE SED >5YR 1ST 15 MINUTES, $637.00 , $445.90 
MODERATE SED >5YRS 1ST 15 MIN-2P, $310.00 , $217.00 
MODERATE SED EA ADD 15 MINUTES, $637.00 , $445.90 
MODERATE SED EA ADDL 15 MIN-2P, $235.00 , $164.50 
BLOOD BANK CRYOPRECIPITATE, $242.00 , $169.40 
BLOOD BANK PLATELETS, $826.00 , $578.20 
BLOOD BANK PLATELETS PHERESIS LR," $2,390.00 "," $1,673.00 "
BLOOD BANK PLATELETS PHERESIS LR," $2,529.00 "," $1,770.30 "
BLOOD BANK RBC LR, $767.00 , $536.90 
BLOOD BANK RBC LR IRRADIATED, $906.00 , $634.20 
BLOOD BANK RED BLOOD CELLS," $1,021.00 ", $714.70 
 BLOOD TRANSFUSION ," $1,231.00 ", $861.70 
BLOOD TRANSFUSION," $1,231.00 ", $861.70 
DIAGNOSTIC BREAST TOMOSYNTHESIS, $53.44 , $37.41 
DIAGNOSTIC MAMMOGRAM BILATERAL, $396.00 , $277.20 
DIAGNOSTIC MAMMOGRAM UNILATERAL, $314.00 , $219.80 
<14 WEEKS ADDL FETUS ULTRASOUND, $72.00 , $50.40 
<14 WEEKS SGL FETUS ULTRASOUND, $419.00 , $293.30 
>14 WEEKS ADDL FETUS ULTRASOUND, $140.00 , $98.00 
>14 WEEKS SGL FETUS ULTRASOUND, $419.00 , $293.30 
COMPLETE PELVIC ULTRASOUND, $419.00 , $293.30 
COMPRESSION REPAIR ANEUR/FISTULA," $1,024.00 ", $716.80 
EXAM OF HEAD, $651.78 , $456.24 
FOLLOW UP/REPEAT OB ULTRASOUND, $285.00 , $199.50 
GUIDED NEEDLE PLACEMENT, $86.00 , $60.20 
INFANT HIP W/WO MANIP ULTRASOUND, $285.00 , $199.50 
INFANT HIPS W/MANIP ULTRASOUND, $285.00 , $199.50 
KIDNEY LIMITED ULTRASOUND, $419.00 , $293.30 
KIDNEY ULTRASOUND, $419.00 , $293.30 
LIMITED 1+ FETUS(S) ULTRASOUND, $419.00 , $293.30 
LIMITED ABDOMINAL ULTRASOUND, $419.00 , $293.30 
LIMITED PELVIC ULTRASOUND, $285.00 , $199.50 
OB BIOPHYSICAL PROFILE US, $441.99 , $309.40 
PROSTATE VOLUME STUDY ULTRASOUND, $589.00 , $412.30 
SCROTUM ULTRASOUND, $419.00 , $293.30 
SPINE ULTRASOUND, $285.00 , $199.50 
TRANSVAGINAL OB ULTRASOUND, $419.00 , $293.30 
TRANSVAGINAL ULTRASOUND, $419.00 , $293.30 
UC INTRAOPERATIVE, $201.00 , $140.70 
US AAA SCREENING, $519.00 , $363.30 
US ABDOMINAL COMPLETE, $419.00 , $293.30 
US BREAST COMPLETE, $285.00 , $199.50 
US BREAST LIMITED, $285.00 , $199.50 
US EXTREMITY NON VASCULAR LIMITED, $285.00 , $199.50 
US GUIDANCE FOR INTERSTITIAL APP, $74.00 , $51.80 
US KIDNEY TRANSPLANT, $419.00 , $293.30 
US OF BREAST COMPLETE, $285.00 , $199.50 
US OF BREAST LIMITED, $285.00 , $199.50 
US OF CHEST, $419.00 , $293.30 
US OF HEAD AND NECK, $419.00 , $293.30 
VASCULAR ACCESS GUIDE, $55.00 , $38.50 
SCREENING BREAST TOMOSYNTHESIS, $53.44 , $37.41 
SCREENING MAMMOGRAM, $331.00 , $231.70 
PET BRAIN METABOLIC EVAL," $3,995.00 "," $2,796.50 "
PET W/CT FULL BODY SCAN," $3,995.00 "," $2,796.50 "
PET W/CT SKULL TO THIGH," $3,995.00 "," $2,796.50 "
ARTERIAL PUNCTURE, $546.00 , $382.20 
CHEST WALL MANIPULATION , $682.00 , $477.40 
CHEST WALL MANIPULATION SUBSQNT, $217.00 , $151.90 
CONT INHALATION TRTMT ADDL HOUR, $59.00 , $41.30 
CONTINUOUS INHALATION TRTMT 1STHR, $546.00 , $382.20 
CPAP INITIATION AND MANAGEMENT, $682.00 , $477.40 
NASAL TRACHEAL SUCTIONING, $682.00 , $477.40 
VENT SUBSEQUENT DAY," $1,550.00 "," $1,085.00 "
VENTILATION ASSIST INITIAL DAY," $1,550.00 "," $1,085.00 "
APPLICATION OF SHORT ARM SPLINT, $546.00 , $382.20 
CANALITH REPOSITIONING, $153.00 , $107.10 
ELECTRIC CURRENT THERAPY 15 MIN, $136.00 , $95.20 
GAIT TRAINING, $118.00 , $82.60 
MASSAGE THERAPY 15 MIN, $110.00 , $77.00 
MECHANICAL TRACTION THERAPY, $66.00 , $46.20 
ORTHOTIC/PROSTHETIC MGMNT 15 MIN, $201.00 , $140.70 
ORTHOTICS (SUPPLY-NO EVAL), $191.00 , $133.70 
PHYSICAL PERFORMANCE TEST 15 MIN, $137.00 , $95.90 
SELECTIVE WOUND DEBRIDE <20CM, $605.00 , $423.50 
THERAPY NO SHOW CHARGE, $25.00 , $17.50 
ULTRASOUND THERAPY 15 MIN, $53.00 , $37.10 
WHEELCHAIR MNGMNT TRAINING 15MIN, $126.00 , $88.20 
PT EVAL LOW COMPLEXITY, $332.00 , $232.40 
PT EVAL MODERATE COMPLEXITY, $332.00 , $232.40 
PT EVALUATION , $332.00 , $232.40 
PT RE-EVALUATION EST PLAN OF CARE, $226.00 , $158.20 
APPLICATION OF FINGER SPLINT, $217.00 , $151.90 
APPLICATION OF SHORT ARM SPLINT, $546.00 , $382.20 
COGNITIVE TRAINING, $110.00 , $77.00 
MANUAL THERAPY 15 MIN, $123.00 , $86.10 
NEUROMUSCULAR REEDUCATION 15 MIN, $138.00 , $96.60 
NON WOUND ELECTRICAL STIMULATION, $57.00 , $39.90 
ORTHOTIC MGMNT/TRAINING 15 MIN, $158.00 , $110.60 
PARAFFIN BATH THERAPY, $46.00 , $32.20 
PROSTHETIC TRAINING 1ST ENCOUNTER 15 MIN, $137.00 , $95.90 
THERAPEUTIC ACTIVITIES 15 MIN, $144.00 , $100.80 
THERAPEUTIC EXERCISES EA 15 MIN, $134.00 , $93.80 
OT EVAL LOW COMPLEXITY, $320.00 , $224.00 
OT EVAL MODERATE COMPLEXITY, $320.00 , $224.00 
OT EVALUATION HIGH COMPLEXITY, $320.00 , $224.00 
OT RE-EVALUATION EST PLAN OF CARE, $213.00 , $149.10 
BEHAVIOR QUAL VOICE ANALYSIS, $371.00 , $259.70 
COGNITIVE PERFORMANCE, $484.00 , $338.80 
COGNITIVE SKILLS DEVELOPMENT, $110.00 , $77.00 
COGNITIVE SKILLS DEVELOPMENT, $110.00 , $77.00 
ENDOSCOPY SWALLOW (FEES) VID, $281.00 , $196.70 
EVALUATE SWALLOW FUNCTION, $299.00 , $209.30 
EVALUATION FOR SPEECH DEVICE 1 HR, $513.00 , $359.10 
EVALUATION SPEECH FLUENCY, $445.00 , $311.50 
EVALUATION SPEECH PRODUCTION, $380.00 , $266.00 
MOTION FLUORO EVAL OF SWALLOWING, $357.00 , $249.90 
SELF CARE MGMNT TRAINING ADDL 15 MIN, $144.00 , $100.80 
SPEECH SOUND COMPRENSION, $775.00 , $542.50 
SPEECH/HEARING THERAPY, $326.00 , $228.20 
TREATMENT OF SWALLOWING DYS, $355.00 , $248.50 
UNLISTED PT/REHAB SERVICE, $133.00 , $93.10 
 DEBRIDE TIS/MUSCLE/BONE <20CM," $3,423.00 "," $2,396.10 "
 IV PUSH ADDL SAME DRUG , $169.00 , $118.30 
ABDOMINAL PARACENTESIS WO/IMAGE," $2,027.00 "," $1,418.90 "
AIRWAY INHALATION TREATMENT, $682.00 , $477.40 
ANOSCOPY W/ REMOVAL OF FOREIGN BODY," $3,427.00 "," $2,398.90 "
APPLICATION OF ARM SPLINT, $530.00 , $371.00 
APPLICATION OF FINGER SPLINT, $217.00 , $151.90 
APPLICATION OF LONG LEG CAST, $925.00 , $647.50 
APPLICATION OF LONG LEG SPLINT, $530.00 , $371.00 
APPLICATION OF SHORT ARM CAST, $925.00 , $647.50 
APPLICATION OF SHORT ARM SPLINT, $546.00 , $382.20 
APPLICATION OF SHORT LEG CAST, $925.00 , $647.50 
APPLICATION OF SHORT LEG SPLINT, $530.00 , $371.00 
APPLY SHORT ARM SPLINT DYNAMIC, $378.00 , $264.60 
ARTERIAL CATH SAMPLE, $212.00 , $148.40 
ASPIRATION GANGLION CYST, $875.00 , $612.50 
AVULSION OF NAIL PLATE EA ADDL, $84.00 , $58.80 
BLADDER IRRIGATION , $885.00 , $619.50 
BLOOD TRANSFUSION ," $1,231.00 ", $861.70 
BURN TREATMNT 1ST DEGREE , $408.00 , $285.60 
CARDIOPULMONARY RESUSCITATION, $986.00 , $690.20 
CAUTERY OF CERVIX ," $7,646.00 "," $5,352.20 "
CHANGE OF CYSTOSTOMY TUBE, $885.00 , $619.50 
CHEST TUBE INSERTION ," $2,027.00 "," $1,418.90 "
CLOSED TREATMENT OF FRACTURE GREAT TOE, $891.00 , $623.70 
CLOSED TREATMENT OF HUMERAL FX, $891.00 , $623.70 
CLOSED TREATMENT OF SHLDER DISLOC, $886.00 , $620.20 
CLOSED TREATMENT OF TALUS," $5,598.00 "," $3,918.60 "
CLOSED TREATMENT RADIAL SHAFT," $2,954.00 "," $2,067.80 "
CLOSURE OF LACERATION <2.5CM," $1,505.00 "," $1,053.50 "
CLSD TREATMENT MANDIBULAR FX," $1,907.00 "," $1,334.90 "
CLSD TRTMNT FRACTURE OF CARPOMETACARPAL DISL, $983.64 , $688.55 
CLSD TRTMNT OF  ANKLE DISLOCATION, $886.00 , $620.20 
CLSD TRTMNT OF BIMALLEOLAR ANKLE FRACTURE," $2,954.00 "," $2,067.80 "
CLSD TRTMNT OF DISTAL FIBULAR FRACTURE, $886.00 , $620.20 
CLSD TRTMNT OF DISTAL PHALANGEAL FRACTURE, $886.00 , $620.20 
CLSD TRTMNT OF HIP DISLOCATION, $886.00 , $620.20 
CLSD TRTMNT OF HUMERAL FRACTURE, $886.00 , $620.20 
CLSD TRTMNT OF MEDIAL MALLEOLUS FRACTURE," $5,435.00 "," $3,804.50 "
CLSD TRTMNT OF METACARPAL FRACTURE, $886.00 , $620.20 
CLSD TRTMNT OF METACARPAL FRACTURE, $886.00 , $620.20 
CLSD TRTMNT OF MONTEGGIA FRACTURE," $16,304.00 "," $11,412.80 "
CLSD TRTMNT OF NASAL BONE FRACTURE, $537.00 , $375.90 
CLSD TRTMNT OF PATELLAR DISLOCATION, $700.00 , $490.00 
CLSD TRTMNT OF PHALANGEAL SHAFT FRACTURE, $886.00 , $620.20 
CLSD TRTMNT OF POST HIP ARTHROPLASTY , $886.00 , $620.20 
CLSD TRTMNT OF PROXIMAL FIBULA/SHAFT FRACTURE," $2,954.00 "," $2,067.80 "
CLSD TRTMNT OF RADIAL/ULNAR SHAFT FRACTURE, $886.00 , $620.20 
CLSD TRTMNT OF SHOULDER  DISLOCATION W/MANIP," $2,954.00 "," $2,067.80 "
CLSD TRTMNT OF SHOULDER DISL/ W/ANES," $4,541.00 "," $3,178.70 "
CLSD TRTMNT OF TARSAL BONE DISLOCATION, $700.00 , $490.00 
CLSD TRTMNT OF TEMPOROMANDIBULAR DISL, $537.00 , $375.90 
CLSD TRTMNT OF TIBIAL FRACTURE," $5,435.00 "," $3,804.50 "
CLSD TRTMNT OF TIBIAL SHAFT W/MANIPULATION," $5,435.00 "," $3,804.50 "
CLSD TRTMNT OF TRIMALLEOLAR ANKLE FRACTURE," $2,954.00 "," $2,067.80 "
"COMPLEX REPAIR EYELIDS, NOSE, EARS, LIPS 1.1CM-2.5CM"," $1,781.00 "," $1,246.70 "
"COMPLEX REPAIR FOREHEAD, CHEEK, CHIN 2.6-7.5CM"," $1,781.00 "," $1,246.70 "
"COMPLEX REPAIR FOREHEAD, CHEEK, CHIN ETC", $911.00 , $637.70 
"COMPLEX SCALP, ARM, LEG REPAIR"," $1,781.00 "," $1,246.70 "
"COMPLEX SCALP, ARM, LEG REPAIR ADDL 5CM", $358.00 , $250.60 
CONTROL NASAL HEMORRHAGE, $537.00 , $375.90 
CONTROL NASAL HEMORRHAGE, $537.00 , $375.90 
CONTROL NASAL HEMORRHAGE COMPLEX, $537.00 , $375.90 
CONTROL OF NASAL HEMORRHAGE, $546.00 , $382.20 
CONTROL OROPHARYNGEAL HEMORRHAGE, $537.00 , $375.90 
CRITICAL CARE ADDL 30 MIN, $458.00 , $320.60 
CRITICAL CARE VISIT," $2,721.00 "," $1,904.70 "
CV LEVEL 1 EST, $130.00 , $91.00 
CV LEVEL 1 NEW PT, $130.00 , $91.00 
CV LEVEL 2 EST, $144.00 , $100.80 
CV LEVEL 2 NEW PT, $144.00 , $100.80 
CV LEVEL 3 EST, $234.00 , $163.80 
CV LEVEL 3 NEW PT, $234.00 , $163.80 
CV LEVEL 4, $824.00 , $576.80 
CV LEVEL 5," $1,261.00 ", $882.70 
CV LEVEL 6 CRITICAL CARE," $2,721.00 "," $1,904.70 "
CYSTOURETHROSCOPY," $2,273.00 "," $1,591.10 "
DECLOT VASCULAR DEVICE, $808.00 , $565.60 
DENTOALVEOLAR STRUCTURE, $537.00 , $375.90 
DIAGNOSTIC ANOSCOPY, $546.00 , $382.20 
DIAGNOSTIC SPINAL PUNCTURE," $1,544.00 "," $1,080.80 "
DILATION OF URETHRAL STRICTURE, $885.00 , $619.50 
DILATION URETHERAL STRICTURE," $2,249.00 "," $1,574.30 "
DRAIN/INJECTION OF JOINT/BURSA, $875.00 , $612.50 
"DRAINAGE OF ABSCESS, CYST, HEMATOMA", $671.00 , $469.70 
"DRAINAGE OF ABSCESS, CYST, HEMATOMA", $671.00 , $469.70 
DRAINAGE OF DENTAL ABSCESS, $671.00 , $469.70 
DRAINAGE OF DENTAL ABSCESS, $671.00 , $469.70 
DRAINAGE OF EXTERNAL AUDITORY CANAL ABSC, $671.00 , $469.70 
DRAINAGE OF EXTERNAL EAR ABSC/HEMATOMA, $671.00 , $469.70 
DRAINAGE OF FINGER ABSCESS, $671.00 , $469.70 
DRAINAGE OF FINGER ABSCESS COMPLICATED," $3,586.00 "," $2,510.20 "
DRAINAGE OF SCROTAL WALL ABSCESS," $3,586.00 "," $2,510.20 "
DRESS/DEBRID PART THICK BURN LRG," $1,173.00 ", $821.10 
DRESS/DEBRID PART THICK BURN MED, $605.00 , $423.50 
EMERGENCY DEPT VISIT, $467.00 , $326.90 
EMERGENCY DEPT VISIT, $822.00 , $575.40 
EMERGENCY DEPT VISIT," $1,382.00 ", $967.40 
EMERGENCY DEPT VISIT  LEVEL ," $2,041.00 "," $1,428.70 "
EMERGENCY DEPT VISIT  LEVEL 1, $251.00 , $175.70 
EMERGENT INTUBATION , $537.00 , $375.90 
EVACUATION OF SUBUNGUAL HEMATOMA, $217.00 , $151.90 
EXCISION OF BENIGN LESION <.5 CM," $1,568.00 "," $1,097.60 "
EXPLORATION OF WOUND," $3,586.00 "," $2,510.20 "
FEMORAL NERVE BLOCK," $1,544.00 "," $1,080.80 "
FLEX DIAGNOSTIC LARYNGOSCOPY, $624.00 , $436.80 
FORESKIN MANIPULATION, $884.00 , $618.80 
GASTRIC LAVAGE , $546.00 , $382.20 
IM/SQ INJECTION , $111.00 , $77.70 
IMMUNIZATION EA ADDTL VACCINE, $27.00 , $18.90 
INCISION & DRAIN OF CYST SIMPLE, $671.00 , $469.70 
INCISION & DRAIN PERIANAL ABSCESS," $1,833.00 "," $1,283.10 "
INCISION OF HEMORRHOID, $885.00 , $619.50 
INCISION/DRAINAGE ABSCESS," $1,505.00 "," $1,053.50 "
INCISION/DRAINAGE OF ABSCESS COMPLICATED/MULTI, $671.00 , $469.70 
INCISION/DRAINAGE OF ABSCESS MOUTH/SUBMANDIBULAR," $9,119.00 "," $6,383.30 "
INCISION/DRAINAGE OF BARTHOLIN GLAND ABSC, $542.00 , $379.40 
INCISION/DRAINAGE OF HEMATOMA/FLUID," $3,586.00 "," $2,510.20 "
INCISION/DRAINAGE OF PILONIDAL CYST," $3,586.00 "," $2,510.20 "
INCISION/DRAINAGE OF VULVA/PERINEAL , $937.00 , $655.90 
INCISION/REMOVAL OF FOREIGN BODY," $1,173.00 ", $821.10 
INJ EPIDURAL BLOOD CLOT PATCH," $2,783.00 "," $1,948.10 "
INJ OF ANES INTO SPHENO GANGLION," $1,015.00 ", $710.50 
INJ PERIPHERAL NERVE/BRANCH," $1,544.00 "," $1,080.80 "
INJ PERIPHERAL NERVE/BRANCH," $2,780.16 "," $1,946.11 "
INJ TRIGEMINAL NERVE APICAL BL, $875.00 , $612.50 
INJ/BLOCK C/T WO GUIDANCE," $2,075.00 "," $1,452.50 "
INJECTION CERVICAL PLEXUS," $1,544.00 "," $1,080.80 "
INJECTION/ANESTHETIC AGENT FACIAL NERVE, $546.00 , $382.20 
INSERT FEED TUBE VIA TRACH/ESO, $599.00 , $419.30 
INSERTION OF BLADDER CATHETER, $546.00 , $382.20 
INSERTION OF FOLEY CATH , $546.00 , $382.20 
INSERTION OF FOLEY CATH , $546.00 , $382.20 
INSERTION OF TEMPORARY BLADDER CATH, $469.00 , $328.30 
INTERMEDIATE WND REP 7.6-12.5CM, $911.00 , $637.70 
INTERMEDIATE WND REPAIR <2.5CM, $911.00 , $637.70 
INTERMEDIATE WND REPAIR 2.5-5.0CM, $911.00 , $637.70 
INTERMEDIATE WND REPAIR 7.6-12.5CM, $911.00 , $637.70 
INTERMEDIATE WND REPAIR NECK/HANDS/FEET, $911.00 , $637.70 
"INTERMEDIATE WND REPAIR SCALP, AXILLAE 12.6-20.0CM"," $1,781.00 "," $1,246.70 "
INTERMEDIATE WOUND REPAIR <2.5CM, $911.00 , $637.70 
IRRIGATION CORPA CAVERN, $885.00 , $619.50 
IRRIGATION REMOVAL OF CERUMEN, $223.00 , $156.10 
KNEE STRAPPING, $217.00 , $151.90 
LACERATION LIP/VERMILLION FT >1/2 HGT," $2,856.00 "," $1,999.20 "
LACERATION LIP/VERMILLION FT 1/2 HGT," $2,678.00 "," $1,874.60 "
LACERATION REPAIR <2.5 CM, $537.00 , $375.90 
LIP REPAIR VERMILION ONLY," $2,678.00 "," $1,874.60 "
NASO/OROGASTRIC TUBE PLACEMENT, $625.00 , $437.50 
NEEDLE PLACEMENT FOR INTRAOSSEOUS INFUSION, $546.00 , $382.20 
NON TUNNEL CATH <5 YEARS," $3,493.00 "," $2,445.10 "
NON TUNNEL CATH >5 YEARS," $3,493.00 "," $2,445.10 "
OCCIPITAL NERVE BLOCK," $1,544.00 "," $1,080.80 "
OPEN CHEST HEART MASSAGE," $2,496.00 "," $1,747.20 "
PERIRECTAL ABSCESS DRAIN," $6,027.00 "," $4,218.90 "
PICC LINE WO/PORT PUMP >5 YEARS," $3,493.00 "," $2,445.10 "
PROCEDURE OF THE SMALL INTESTINE," $9,467.00 "," $6,626.90 "
PROCEDURE PHARYNX, $537.00 , $375.90 
RADIAL HEAD SUBLAXATION, $886.00 , $620.20 
REDUCTION OF RECTUM," $2,944.00 "," $2,060.80 "
REMOVAL CAST ARM/LEG, $925.00 , $647.50 
REMOVAL IUD, $937.00 , $655.90 
REMOVAL OF EMBEDDED FB  MOUTH, $546.00 , $382.20 
REMOVAL OF EMBEDDED FB EYELID," $1,236.00 ", $865.20 
REMOVAL OF EYE W/SLIT LAMP, $418.00 , $292.60 
REMOVAL OF EYE/CONJUNCTIVA, $418.00 , $292.60 
REMOVAL OF FB FROM EYES/LENS," $7,259.00 "," $5,081.30 "
REMOVAL OF FOREIGN BODY PHARYNX, $546.00 , $382.20 
REMOVAL OF FOREIGN BODY; AUDITORY CANAL, $546.00 , $382.20 
REMOVAL OF FOREIGN BODY; NOSE, $546.00 , $382.20 
REMOVAL OF IMPACTED EAR WAX, $217.00 , $151.90 
REMOVAL OF NAIL BED," $1,568.00 "," $1,097.60 "
REMOVAL OF SKIN TAGS <=15 LESIONS, $408.00 , $285.60 
REMOVE FB CORNEA, $418.00 , $292.60 
REMOVE FB CORNEA, $418.00 , $292.60 
REPAIR EXTENSOR TENDON/FINGER," $5,087.00 "," $3,560.90 "
REPAIR MOUTH LACERATION >2.5CM ," $2,678.00 "," $1,874.60 "
REPAIR NAIL BED, $911.00 , $637.70 
REPLACE GASTROSTOMY TUBE , $808.00 , $565.60 
SHOULDER IMMOBILIZER , $217.00 , $151.90 
SIMPLE REPAIR OF SUPERFICIAL FC WOUND 7.6-12.5CM , $605.00 , $423.50 
SIMPLE REPAIR OF SUPERFICIAL WOUND 20.1-30.0CM, $911.00 , $637.70 
SINGLE INJECTION SHEATH/LIGAMENT, $875.00 , $612.50 
STRAPPING HAND/FINGER, $217.00 , $151.90 
STRAPPING TOES, $217.00 , $151.90 
SUPERFICIAL WND REPAIR 12.6-20.0CM, $605.00 , $423.50 
SUPERFICIAL WND REPAIR 2.6-7.5CM, $408.00 , $285.60 
SUPERFICIAL WND REPAIR 7.6-12.5CM, $408.00 , $285.60 
SUPERFICIAL WOUND REPAIR <2.5 CM, $408.00 , $285.60 
SUPERFICIAL WOUND REPAIR <2.5CM, $408.00 , $285.60 
SUPERFICIAL WOUND REPAIR 2.5-5 CM, $408.00 , $285.60 
THERAPEUTIC SPINAL PUNCTURE," $1,544.00 "," $1,080.80 "
THORACENTESIS WO/IMAGE," $2,027.00 "," $1,418.90 "
THROMBOLYSIS CEREBRAL BY IV," $1,112.04 ", $778.43 
TRACHEOSTOMY CRICOTHYROID," $1,907.00 "," $1,334.90 "
TREATMENT HUMERUS FRACTURE, $886.00 , $620.20 
TREATMENT JOINT DISLOCATION, $886.00 , $620.20 
TREATMENT OF CLOSED ELBOW DISLOCATION, $886.00 , $620.20 
TREATMENT OF DISTAL RADIAL FRACTURE," $2,954.00 "," $2,067.80 "
TREATMENT OF JOINT DISLOCATION, $700.00 , $490.00 
TREATMENT OF METACARP DISLOC, $886.00 , $620.20 
TREATMENT OF SUPERFICIAL WOUND DEHISCENCE, $911.00 , $637.70 
